Camp_Name,enum_name,enum_nub,coordinates_latitude,coordinates_longitude,governorate,district,site_typology,area,sub_site,site_name,month,camp_mngt,camp_mngmt_office,camp_mngmt_male_staff,camp_mngmt_female_staff,camp_committee,population_tracking,presence_of_camp_mobile_team,camp_mobile_team_agency,camp_distribution_announcement,plots/occupied_plots,plots/no_of_shelters,has_concrete_slabs,shelter_types,shelter_types/modm_tents,shelter_types/modm_tents_repairs,shelter_types/unhcr_tents,shelter_types/unhcr_tents_repairs,shelter_types/afad_tents,shelter_types/afad_tents_repairs,shelter_types/other_tents,shelter_types/other_tents_repairs,shelter_types/caravans,shelter_types/RHU,shelter_types/improvised_makeshift_shelter,shelter_types/semi-permanent structure(plastic sheeting_corrugated_iron),total_hh/total_families,ind_ages/ind_age_groups/males_0_4,ind_ages/ind_age_groups/females_0_4,ind_ages/ind_age_groups/males_5_17,ind_ages/ind_age_groups/females_5_17,ind_ages/ind_age_groups/males_18_59,ind_ages/ind_age_groups/females_18_59,ind_ages/ind_age_groups/males_60_over,ind_ages/ind_age_groups/females_60_over,ind_ages/total_population,ind_ages/vulnerabilities_groups./F_HoH,ind_ages/vulnerabilities_groups./Child_HoH,ind_ages/vulnerabilities_groups./ppl_physical_dis,ind_ages/vulnerabilities_groups./ppl_mental_dis,ind_ages/vulnerabilities_groups./ppl_chronic_disease,ind_ages/vulnerabilities_groups./elderly_at_risk,nfi_items/blankets,nfi_items/mattress,nfi_items/kitchen_nfi,nfi_items/fuel,nfi_items/oven,nfi_items/water_container,nfi_items/kerosene cooking/ fuel distribution on the camp ?,Is the camp subjected to Flood Risk?,Number of fire incidents during this year,What is the main source of electricity in the camp?,Water: Number of  litters/person/day,What is the primary method of waste disposal by families?,Number of functional latrines in the camp,Number of functional shower/bathing facilities in the camp,lightning_around_latrines,Illness_in_site,PHC,SHC,children_under_5_vaccinatedfor_poliomeasles,access_to_food,food assistance frequency,Are there movement restrictions in and out of the camp?,Are there areas where women and girls do 0t feel safe?,families_missing_documentation,distance to accessible counrts and civil registration office (kms),functioning_primary_school,functioning_secondary_school,Approximately how many school-aged children have access to formal school?,What are the primary challenges to accessing formal education (select up to 3)?,informal_education_activities_available,access_to_informal_education,Nearest market available(kms),Items not available at market,primary_livelihood_sources,how_many_earn_income_last_30_days,young_people(under_18)_work_in_last_30_days,PROTECTION,GBV,CHILD PROTECTION,EDUCATION,SHELTER,WATER,SANITATION,WASTE MANAGEMENT,NFI,PHC,SHC,MHPSS,NUTRITION,FOOD,SOCIAL COHESION,LIVELIHOOD,COMMUNICATION
Al Tahrer 1,Hayder hussein Turki,,33.24958,43.586458,Anbar,Ramadi,Camp,,IQ0102-0033-003,IQ0102-0033-003,May,Yes,Yes,3,0,Camp Management Committee Women committee,Excel based,1,DRC,Camp Management Team Word of Mouth Loudspeakers,256,153,1,UNHCR Tents,,,153,12,,,,,,,,,108,44,45,111,97,66,75,7,10,,28,0,2,1,6,17,0,0,0,1,0,1,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",5,Electricity grid Generators privately owned,60,Communal garbage bin,72,31,1,"Skin diseases (scabies, contagious rashes, etc.) Numerous cases of respiratory diseases",1,0,3,1,Every month,0,Market WASH facilities (latrines/ bathing),30,28,1,1,130,"Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.) , Lack of documentation",1,12,,Kerosene,Unskilled wage labour Pension from government Humanitarian aid,20,9,DRC IRC Terre des Hommes UNHCR UNICEF ,AFKAR IMC UNFPA ,DRC Terre des Hommes UNICEF ,DoE NRC UNICEF,MOMD UNHCR other (specify) Mercy Hands,DRC Sabaa Sanabul UNICEF ,PUI Sabaa Sanabul UNICEF ,PUI UNICEF ,"MOMD UNHCR other (specify) Mercy Hands, Mercy corps, DRC",Dary UNFPA WHO , ,PUI ,DOH UNICEF ,MOMD WFP other (specify) Mercy Hands, , ,
Al Tahrer 2,Hayder Hussein turki,,33.252537,43.585038,Anbar,Ramadi,Camp,,IQ0102-0033-004,IQ0102-0033-004,May,Yes,Yes,3,0,Camp Management Committee Women committee,Excel based,1,DRC,Camp Management Team Word of Mouth Loudspeakers,350,186,1,UNHCR Tents,,,186,12,,,,,,,,,133,62,64,117,125,68,80,19,18,,38,0,4,1,6,16,0,0,1,1,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",6,Electricity grid Generators privately owned,60,Communal garbage bin,80,42,1,"Skin diseases (scabies, contagious rashes, etc.) Numerous cases of respiratory diseases",1,0,26,1,Every month,0,Market WASH facilities (latrines/ bathing),30,23,1,1,150,"Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.), Lack of documentation",1,8,,"Tools, hardware and materials Kerosene",Unskilled wage labour Pension from government Humanitarian aid,16,8,DRC IRC Terre des Hommes UNHCR UNICEF ,AFKAR IMC UNFPA ,DRC Terre des Hommes UNICEF ,DoE NRC UNICEF,MOMD UNHCR other (specify) Mercy Hands,DRC Sabaa Sanabul UNICEF ,UNICEF other (specify) Mercy Corps,Sabaa Sanabul UNICEF other (specify) Mercy Corps,"MOMD UNHCR other (specify) Mercy Hands, Mercy Corps, DRC",Dary UNFPA WHO , ,PUI ,DOH UNICEF ,MOMD WFP other (specify) Mercy Hands, , ,
Al Tahrer Central,Baker Sedeeq Hashim,,33.251064,43.585344,Anbar,Ramadi,Camp,,IQ0102-0033-002,IQ0102-0033-002,May,Yes,Yes,3,0,Camp Management Committee Women committee,Excel based,1,DRC,Camp Management Team Word of Mouth Loudspeakers,250,159,1,UNHCR Tents,,,159,25,,,,,,,,,106,67,32,111,105,59,86,1,1,,41,0,4,0,4,2,0,1,0,1,0,1,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",3,Electricity grid,60,Communal garbage bin,30,30,1,"Skin diseases (scabies, contagious rashes, etc.) Numerous cases of respiratory diseases",1,0,3,1,Every month,0,Market WASH facilities (latrines/ bathing),30,23,1,1,80,"Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.) Lack of documentation",1,10,,"Tools, hardware and materials Kerosene",Unskilled wage labour Casual unskilled labour Humanitarian aid,15,11,DRC IRC Terre des Hommes UNICEF ,AFKAR IMC UNFPA ,DRC Terre des Hommes UNICEF other (specify) SSORD,DoE NRC UNICEF,MOMD UNHCR other (specify) Mercy Hands,DRC Sabaa Sanabul UNICEF ,Sabaa Sanabul UNICEF other (specify) Mercy Corps,UNICEF other (specify) Mercy Corps,"MOMD UNHCR other (specify) DRC , Mercy Corps ,Mercy Hands",Dary UNFPA WHO , ,PUI ,DOH UNICEF ,MOMD WFP other (specify) Mercy Hands, , ,
Al-Abaydh camp (AAF10),Abdulmohaimen ,,33.14375695,43.84941549,Anbar,Falluja,Camp,,IQ0102-0019-010,IQ0102-0019-010,May,Yes,Yes,3,0,Youth committee Women committee Maintenance Committee,Excel based,1,IOM,Camp Management Team NGO Local Authorities,240,2,1,UNHCR Tents MoMD Tents,47,26,4,0,,,,,,,,,34,8,6,21,17,29,28,8,1,,5,0,4,0,1,0,1,0,0,1,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",0,Electricity grid,25,Communal garbage bin,28,0,0,"Skin diseases (scabies, contagious rashes, etc.) Hepatitis A/E",1,0,0,1,Every month,1,0ne,1,4,1,1,33,"0t e0ugh teachers Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.) Physical/ logistical constraints",1,14,,"Tools, hardware and materials",Unskilled wage labour Pension from government Humanitarian aid,5,4,DRC IRC Terre des Hommes ,UIMS ,DRC ,UNICEF Government / Local Authorities NRC,IOM UNHCR ,other (specify) SSORD,other (specify) SSORD,other (specify) B.R.H.A Mercy corps , ,Dary , , , ,WFP , , ,
Al-Alam 1,Ammar Taha Joori,,34.82106,43.58424,Salah al-Din,Tikrit,Camp,,IQ1808-0002-001,IQ1808-0002-001,May,Yes,Yes,11,2,Camp Management Committee Women committee Maintenance Committee,Excel based,1,DRC,Camp Management Team Community leaders Camp Committees,500,83,1,UNHCR Tents,,,500,260,,,,,,,,,322,159,173,350,350,187,239,12,34,,73,0,16,0,73,39,0,1,0,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",4,Electricity grid Centralized generators,40,Communal garbage bin,150,100,1,"Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Between 2 and 3 months,0,0ne,67,25,1,1,500,"Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,100,,"Basic households items (e.g. mattress, blankets, kitchen utensils) Tools, hardware and materials Basic medicine Kerosene",Unskilled agricultural labour Humanitarian aid Savings,150,0,DRC ,IMC IRC ,DRC Save the Children ,Save the Children,UNHCR ,UNICEF ,other (specify) Mercycorps,other (specify) mercycorps,UNHCR , , , ,WFP ,WFP , , ,
Al-Amal Al-manshood 1 MoDM camp (AAF05),Saddam,,33.14758741,43.85068646,Anbar,Falluja,Camp,,IQ0102-0019-005,IQ0102-0019-005,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,NGO Local Authorities Camp Committees,288,0,1,MoMD Tents,108,20,,,,,,,,,,,43,24,11,39,38,93,76,6,3,,10,0,1,1,2,2,1,1,0,0,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",0,Electricity grid,25,Communal garbage bin,48,24,0,0ne,1,0,0,1,Every month,1,0ne,3,4,1,1,60,0t e0ugh teachers 0t e0ugh learning materials Long distance to travel to school,1,20,,"Tools, hardware and materials Basic medicine",Self-employment,4,0,DRC IRC Terre des Hommes ,UIMS ,DRC other (specify) SSORD,Government / Local Authorities NRC UNICEF,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Mercy corps, ,Dary , ,UIMS , ,WFP , , ,
Al-Hijaj camp (AAF04),Saddam,,33.14774162,43.8484577,Anbar,Falluja,Camp,,IQ0102-0019-004,IQ0102-0019-004,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,NGO Local Authorities Camp Committees,363,0,1,MoMD Tents,130,30,,,,,,,,,,,51,7,6,36,34,57,76,2,3,,30,0,5,0,2,0,1,1,0,0,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",1,Electricity grid,25,Communal garbage bin,84,84,0,"Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,1,0ne,0,4,1,1,50,0t e0ugh teachers 0t e0ugh learning materials Long distance to travel to school,1,20,,"Tools, hardware and materials",Unskilled wage labour Pension from government Social security,5,10,DRC IRC ,UIMS ,DRC other (specify) SSORD?CRS,DoE NRC UNICEF,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Mercy corps, ,Dary , , , ,WFP , , ,
Al-Hijra - HTC,Haider HUssein Turki,,33.251426,43.578081,Anbar,Ramadi,Camp,,IQ0102-0033-001,IQ0102-0033-001,May,Yes,Yes,3,0,Camp Management Committee Women committee,Excel based,1,DRC,Camp Management Team Word of Mouth Camp Committees,250,77,Partially,"MoMD Tents UNHCR Tents Constructed Structure (ex. Housing units constructed by blocks, fully upgraded)",67,10,11,0,,,,,,,,,128,75,76,118,146,84,83,26,18,,25,0,4,0,4,26,0,0,0,1,0,1,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid Generators privately owned,75,Communal garbage bin,45,24,1,"Skin diseases (scabies, contagious rashes, etc.)",1,0,5,1,Every month,0,Market,25,25,1,1,100,"Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.) Lack of documentation",1,23,,"Tools, hardware and materials Basic medicine Kerosene",Unskilled wage labour Casual unskilled labour Humanitarian aid,70,15,DRC IRC UNHCR UNICEF ,AFKAR IMC UNFPA ,DRC Terre des Hommes UNICEF ,DoE NRC UNICEF,MOMD UNHCR other (specify) Mercy Hands,DRC Sabaa Sanabul UNICEF other (specify) Mercy Corps,UNICEF other (specify) Mercy corps,other (specify) mercy corps,"MOMD UNHCR other (specify) mercy hands, DRC",Dary UNFPA WHO , ,PUI ,DOH UNICEF ,MOMD WFP other (specify) Mercy Hands, , ,
Al-Ikhowa (AAF03),Abdulmohaimen ,,33.14808495,43.84606829,Anbar,Falluja,Camp,,IQ0102-0019-003,IQ0102-0019-003,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,Camp Management Team NGO Local Authorities,221,40,1,MoMD Tents,75,20,,,,,,,,,,,17,2,2,10,16,17,22,0,1,,4,0,2,0,2,0,1,0,0,1,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",0,Electricity grid,20,Communal garbage bin,36,24,0,"Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,1,0ne,0,4,1,1,15,"0t e0ugh teachers Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",0,0,,"Basic medicine Tools, hardware and materials",Self-employment,7,0,DRC IRC ,UIMS ,"DRC other (specify) SSORD , CRS",UNICEF Government / Local Authorities NRC,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Mercy corps , ,Dary , ,UIMS , ,WFP , , ,
Al-Kawthar Camp,Nameer Al-Bassam,,32.522096,44.111177,Kerbala,Hindiya,Camp,,IQ1203-0001,IQ1203-0001,May,Yes,Yes,3,1,Women committee Youth committee,Paper based,0,,Camp Management Team Community leaders Mobile Phones,1117,993,1,Caravans,,,,,,,,,1117,,0,0,124,41,36,161,153,85,107,10,15,,20,0,0,0,35,1,0,0,0,0,0,0,0,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid Generators privately owned,40,Communal garbage bin,1117,1117,1,0ne,0,0,0,1,Never,0,0ne,0,10,1,1,250,"0t e0ugh teachers 0t e0ugh learning materials Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",0,0,1,Everything needed is available,Unskilled wage labour Casual unskilled labour Self-employment,35,5,DRC ,DRC ,DRC ,Ministry of Education, , ,Government / Local Authorities ,Government / Local Authorities , , , , , , , , ,
