csv_field,alias,type,category,traffic_light,chart,chart_details
shelter_types/semi-permanent structure(plastic sheeting_corrugated_iron),Semi-Permanent Structure,integer,shelter,,,
shelter_types/Flood Risks,Flood Risks,integer,shelter,,,
shelter_types/no_of_fireincidents,No of Fire Incidents(2019),integer,shelter,,,
ind_ages/ind_age_groups/males_60_over,Males: 60+,integer,demographics,,age_pyramid,m
ind_ages/ind_age_groups/females_60_over,Females: 60+,integer,demographics,,age_pyramid,f
ind_ages/ind_age_groups/males_18_59,Males: 18-59,integer,demographics,,age_pyramid,m
ind_ages/ind_age_groups/females_18_59,Females: 18-59,integer,demographics,,age_pyramid,f
ind_ages/ind_age_groups/males_5_17,Males: 5-17,integer,demographics,,age_pyramid,m
ind_ages/ind_age_groups/females_5_17,Females: 5-17,integer,demographics,,age_pyramid,f
ind_ages/ind_age_groups/males_0_4,Males: 0-4,integer,demographics,,age_pyramid,m
ind_ages/ind_age_groups/females_0_4,Females: 0-4,integer,demographics,,age_pyramid,f
ind_ages/vulnerabilities_groups./F_HoH,Female headed HH,integer,vulnerable,,vulnerable_type,
ind_ages/vulnerabilities_groups./Child_HoH,Child headed HH,integer,vulnerable,,vulnerable_type,
ind_ages/vulnerabilities_groups./ppl_physical_dis,Physical disability,integer,vulnerable,,vulnerable_type,
ind_ages/vulnerabilities_groups./ppl_mental_dis,Mental disability,integer,vulnerable,,vulnerable_type,
ind_ages/vulnerabilities_groups./ppl_chronic_disease,Chronic disease,integer,vulnerable,,vulnerable_type,
ind_ages/vulnerabilities_groups./elderly_at_risk,Elderly at risk,integer,vulnerable,,vulnerable_type,
nfi_items/blankets,Blankets,string,nfi,yesgreen,,
nfi_items/mattress,Mattress,string,nfi,yesgreen,,
nfi_items/water_container,Water containers,string,nfi,yesgreen,,
nfi_items/oven,Ovens / stoves,string,nfi,yesgreen,,
nfi_items/fuel,Fuel for cooking,string,nfi,yesgreen,,
nfi_items/kitchen_nfi,Kitchen items,string,nfi,yesgreen,,
nfi_items/kerosene cooking/ fuel distribution on the camp ?,Fuel Distribution,string,nfi,yesgreen,,
nfi_items/kerosene cooking/ source_electiricity,Source of Electrity,,nfi,,,
wash/water_quantity,Number of litres per person / per day,integer,wash,,,
wash/water_source,Main source of drinking water,string,wash,,,
wash/primary_waste_disposal,Primary Waste Disposal Method,string,wash,,,
wash/no._of_functionallatrines,No. of functional latrines,string,wash,,,
wash/type_of_functionallatrines,Type of functional latrines,string,wash,,,
wash/no._of_functionalshower,No. of functional showers/ bathing facilities,string,wash,,,
wash/type_of_functionalshower,Type of functional showers/ bathing facilities,string,wash,,,
wash/lightning_around_latrines,Lightning around latrines,string,wash,,,
wash/open_defacation,Evidence of Open Defacation,string,wash,nogreen,,
wash/% sewage_connection,Percentage of sewage connection,string,wash,,,
health/Illness_in_site,Illness in sites,string,health,,,
health/health_phc,Primary Health Care service (PHS),string,health,yesgreen,,
health/ambulance_service,Ambulance 24/7 available,,health,yesgreen,,
health/health_shc,Secondary Health service,string,health,yesgreen,,
health/health_ambulance,Ambulance 24/7 available,string,health,yesgreen,,
health/children_under_5_vaccinatedfor_poliomeasles,Children under 5 vaccinated( polio or measles),string,health,,,
food_security/food_access,Sufficient & reliable access to food,string,food_security,yesgreen,,
food_security/food_assistance_freq,Food assistance frequency,string,food_security,,,
food_security/food_assistance_type,Food assistance types,list,food_security,,,
food_security/access_to_3_meals_per_day,Access to 3 meals(per day),integer,food_security,,,
food_security/pdas_system,Public Distribution Assistance System,integer,food_security,,,
protection/movement_restrictions,Movement Restrictions,string,protection,nogreen,,
protection/movement_restrictions_type,Movement Restrictions Type,string,protection,,,
protection/people_feel_safe,Do people feel safe,string,protection,,,
protection/women_girls_who_dont_feel_safe,Areas in site( women and girls don't feel safe),string,protection,,,
protection/tension between IDPs and Host Communities,Tension with host community,string,protection,,,
protection/security,Security provider,string,protection,,,
protection/families_missing_documentation,Missing Documentation,integer,protection,,,
protection/distance to accessible courts and civil registration office (kms),Distance to Courts/ Civil Registration Office (kms),integer,protection,,,
education/functioning_primary_school,Primary school in camp or nearby & accessible,string,education,yesgreen,,
education/functioning_secondary_school,Secondary school in camp or nearby & accessible,string,education,yesgreen,,
education/Approximately how many school-aged children have access to formal school?,School-Aged children with access to formal school,integer,education,,,
education/informal_education_activities_available,Non-formal education in camp or nearby & accessible,string,education,yesgreen,,
education/access_to_informal_education,Number of individuals attending informal education,integer,education,,,
education/What are the primary challenges to accessing formal education (select up to 3)?,Reason for not attending school,list,education,,,
livelihoods/Nearest market available(kms),Distance to market(kms),integer,livelihood,,,
livelihoods/Items not available at market,Items not available at market,list,livelihood,,,
livelihoodd/primary_livelihood_sources,Primary Livelihood Sources,list,livelihood,,,
livelihoods/how_many_earn_income_last_30_days,Number of individuals with income in last 30 days,integer,livelihood,,,
livelihoods/young_people(under_18)_work_in_last_30_days,Number of children(under 18) working in last 30 days,integer,livelihood,,,
PROTECTION,Protection,string,who_what,yesgreen,,
GBV,GBV,string,who_what,nonered,,
CHILD PROTECTION,Child Protection,string,who_what,nonered,,
EDUCATION,Education,string,who_what,nonered,,
SHELTER,Shelter,string,who_what,nonered,,
WATER,Water,string,who_what,nonered,,
SANITATION,Sanitation,string,who_what,nonered,,
WASTE MANAGEMENT,Waste management,string,who_what,nonered,,
NFI,NFI,string,who_what,nonered,,
PHC,PHC,string,who_what,nonered,,
SHC,SHC,string,who_what,nonered,,
MHPSS,MHPSS,string,who_what,nonered,,
NUTRITION,Nutrition,string,who_what,nonered,,
FOOD,Food,string,who_what,nonered,,
SOCIAL COHESION,Social cohesion,string,who_what,nonered,,
LIVELIHOOD,Livelihood,string,who_what,nonered,,
COMMUNICATION,Communication,string,who_what,nonered,,
